"state_census_code","state","sector","observations","employment","members","covered","p_members","p_covered","state_abbreviation","year"
92,"Oregon","Public",435,215416.521216667,111608.64085,119795.052091667,0.51810622215271,0.556108951568604,"OR",2002
92,"Oregon","Public",415,214914.910641666,118021.228316667,122877.393708333,0.54915326833725,0.571749031543732,"OR",2003
92,"Oregon","Public",406,231150.9225,122969.780733333,134748.680366667,0.53198915719986,0.58294677734375,"OR",2004
92,"Oregon","Public",392,241398.768691667,118027.468033333,126500.4423,0.4889315366745,0.524031043052673,"OR",2005
92,"Oregon","Public",363,232793.066516667,112960.295475,124341.631291667,0.485239088535309,0.534129440784454,"OR",2006
92,"Oregon","Public",355,236367.217133333,123442.148983333,131518.864658333,0.522247314453125,0.556417524814606,"OR",2007
92,"Oregon","Public",352,233155.360225,139764.77795,145135.7445,0.599449157714844,0.622485101222992,"OR",2008
92,"Oregon","Public",382,245631.213266667,141747.744416667,151988.45365,0.577075481414795,0.618766844272614,"OR",2009
92,"Oregon","Public",388,251834.283275,130247.57815,143243.221866667,0.517195582389832,0.568799555301666,"OR",2010
92,"Oregon","Public",390,256876.021808333,152545.727366667,161691.3337,0.59384959936142,0.62945282459259,"OR",2011
92,"Oregon","Public",387,265731.06275,132633.090475,137957.760041667,0.499125272035599,0.519163072109222,"OR",2012
92,"Oregon","Public",348,235229.802825,119668.129691667,126234.901208333,0.508728623390198,0.536644995212555,"OR",2013
92,"Oregon","Public",377,252878.976841667,136854.543375,145076.292216667,0.541185915470123,0.5736985206604,"OR",2014
92,"Oregon","Public",361,241096.82905,122579.937266667,132880.996233333,0.508426189422607,0.551151990890503,"OR",2015
92,"Oregon","Public",338,233238.284908333,117334.1762,125097.281108333,0.503065705299377,0.536349713802338,"OR",2016
92,"Oregon","Public",363,259420.134491666,137628.3706,144470.734191667,0.530523061752319,0.556898713111877,"OR",2017
92,"Oregon","Public",361,269272.168066667,137337.4264,144346.469391667,0.510031998157501,0.536061584949493,"OR",2018
92,"Oregon","Public",368,272008.060533333,144771.4813,154285.482233333,0.532232344150543,0.567209243774414,"OR",2019
92,"Oregon","Public",370,282884.488841667,148037.115858333,160248.187258333,0.523312926292419,0.566479206085205,"OR",2020
92,"Oregon","Public",394,310417.207891667,179062.66175,191199.303091667,0.576845169067383,0.615943014621735,"OR",2021
92,"Oregon","Public",336,279454.138816666,157572.986808333,170906.640566667,0.563859939575195,0.611573100090027,"OR",2022
92,"Oregon","Total",2205,998676.895833336,222877.708333333,261887.726666667,0.22317299246788,0.262234687805176,"OR",1983
92,"Oregon","Total",2145,982822.670833333,241216.216666667,274432.660833333,0.245432078838348,0.279229074716568,"OR",1984
92,"Oregon","Total",1756,1020091.32583333,231576.269166667,260792.025,0.227015227079391,0.255655556917191,"OR",1985
92,"Oregon","Total",1637,1039266.35166667,205336.541666667,236879.179166667,0.197578355669975,0.2279292345047,"OR",1986
92,"Oregon","Total",1735,1076648.07916667,211582.228333333,254114.3625,0.196519389748573,0.236023604869843,"OR",1987
92,"Oregon","Total",1699,1102633.51166667,228836.845833333,264009.206666667,0.207536637783051,0.239435136318207,"OR",1988
92,"Oregon","Total",1840,1150618.52333333,248028.139166667,281801.015,0.215560704469681,0.244912639260292,"OR",1989
92,"Oregon","Total",1874,1166764.22083334,235723.8125,271588.4875,0.202032089233398,0.232770666480064,"OR",1990
92,"Oregon","Total",1872,1193059.27166667,224891.464166667,258821.94,0.188499823212624,0.216939717531204,"OR",1991
92,"Oregon","Total",1852,1197451.46333333,221494.628333334,246403.4475,0.184971690177917,0.205773219466209,"OR",1992
92,"Oregon","Total",1838,1252291.61166667,245738.114166667,264577.9825,0.196230739355087,0.211275056004524,"OR",1993
92,"Oregon","Total",1804,1282320.34698333,275283.55115,294949.682141667,0.214676111936569,0.230012476444244,"OR",1994
92,"Oregon","Total",1871,1329443.843525,266784.585291667,288281.672583334,0.200673833489418,0.216843813657761,"OR",1995
92,"Oregon","Total",1827,1367914.08966666,246177.702516667,266758.760741667,0.179965764284134,0.195011347532272,"OR",1996
92,"Oregon","Total",1846,1373984.18486667,242241.945075,272100.2446,0.176306217908859,0.198037385940552,"OR",1997
92,"Oregon","Total",1931,1435990.80995,231872.242383333,247961.521416666,0.161471948027611,0.172676265239716,"OR",1998
92,"Oregon","Total",1950,1419511.86285833,216407.411708333,234179.576883334,0.152451992034912,0.164971902966499,"OR",1999
92,"Oregon","Total",1951,1456535.89794167,234378.726741667,250966.19175,0.160915166139603,0.172303467988968,"OR",2000
92,"Oregon","Total",2408,1443696.951725,223208.568933333,240766.315058333,0.154609024524689,0.166770681738853,"OR",2001
92,"Oregon","Total",2817,1439289.11915,226276.976708334,239027.500383333,0.157214403152466,0.166073307394981,"OR",2002
92,"Oregon","Total",2775,1465597.91680834,229850.625141667,240130.742508333,0.156830623745918,0.163844898343086,"OR",2003
92,"Oregon","Total",2500,1470595.35523334,223503.017775,243226.681416667,0.151981309056282,0.165393337607384,"OR",2004
